state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,2002,mercedes-benz,benz slk32 amg,10900,94600,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/los-angeles-rare-excellent-b-slk-32-amg/7234511710.html,https://images.craigslist.org/00202_6LDQGUCNbnM_088066_600x450.jpg
ca,los angeles,2003,ford,mustang mach 1,15000,73000,8 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sfv/cto/d/sunland-2003-ford-mustang-mach/7234511287.html,https://images.craigslist.org/00X0X_nkqnsLM52V_0CI0t2_600x450.jpg
ca,los angeles,2013,ford,f-150 xl,12498,175471,6 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/sgv/ctd/d/glendora-2013-ford-f150-150-150-xl/7234509089.html,https://images.craigslist.org/00l0l_4N4BGcG2fTm_0fe0bq_600x450.jpg
ca,los angeles,2003,toyota,sequoia limited,2700,229518,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/torrance-toyota-sequoia-limited-2wd/7234508406.html,https://images.craigslist.org/00Q0Q_dIknM1Gxg5L_0CI0t2_600x450.jpg
ca,los angeles,2008,rover,supercharged,7900,174994,8 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/playa-del-rey-2008-black-range-rover/7234507857.html,https://images.craigslist.org/00303_6vvAZrFryR4_0ak07C_600x450.jpg
ca,los angeles,2014,honda,civic,9999,61000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/winnetka-2014-honda-civic-lx-coupe-door/7234506800.html,https://images.craigslist.org/00808_6Pbhdzgp3D0_0jm0ew_600x450.jpg
ca,los angeles,2004,toyota,camry,3300,107646,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/van-nuys-toyota-camry/7234505219.html,https://images.craigslist.org/00Y0Y_ZuhtavaGnA_0CI0t2_600x450.jpg
ca,los angeles,2019,chevrolet,camaro,25990,23240,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/marina-del-rey-2019-chevrolet-camaro/7234504970.html,https://images.craigslist.org/00z0z_dTMOo4L5Nj_0jm0ew_600x450.jpg
ca,los angeles,2007,honda,civic si,12495,101711,4 cylinders,fwd,gas,manual,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2007-honda-civic-si-one/7234504732.html,https://images.craigslist.org/00c0c_hjxYzCvuvYi_0cU09d_600x450.jpg
ca,los angeles,2015,lexus,is 250,19995,74457,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2015-lexus-is-sport-wheels/7234504701.html,https://images.craigslist.org/00Q0Q_5xOLsPugcGO_0cU09G_600x450.jpg
ca,los angeles,2011,infiniti,qx56,18995,106547,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2011-infiniti-qx56-loaded/7234504640.html,https://images.craigslist.org/00T0T_8hbFEnddgki_0cR09G_600x450.jpg
ca,los angeles,2016,ford,f-150 platinum,32795,84029,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2016-ford-150-platinum/7234504612.html,https://images.craigslist.org/00k0k_9Zr9jAiM0Fi_0cU09G_600x450.jpg
