,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
44,2020,Toyota,['4Runner'],TRD Off Road 4WD,Fort Worth,TX,"12,346","$38,880",Nautical Blue Metallic,Black/Graphite,16,19,4.0L V-6 Gas,Automatic,4WD,Gas,"['Premium Wheels', 'Adaptive Cruise Control', 'Backup Camera', 'Tow Hitch', 'Third Row Seating', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
45,2018,Toyota,['RAV4'],XLE AWD,Westport,CT,"79,835","$16,499",Black,Black,22,28,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Bluetooth', 'Moonroof', 'Adaptive Cruise Control', 'Backup Camera']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
46,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Lima,OH,"13,176","$39,966",Black Clearcoat,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
47,2014,Ram,['1500'],"SLT Crew Cab 6'4"" Box 4WD",Seattle,WA,"72,050","$20,991",Black,Gray,15,21,5.7L V-8 Gas,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
48,2013,Hyundai,['Elantra'],GLS Sedan Automatic,Glendale,AZ,"94,746","$5,981",Harbor Gray Metallic,Gray,28,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Front Heated Seats', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
49,2019,Nissan,['Sentra'],SV CVT,San Bernardino,CA,"27,691","$11,799",Fresh Powder,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
50,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Roswell,GA,"16,909","$38,676",Black Clearcoat,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
51,2013,Honda,['Civic'],LX Sedan Automatic,Kissimmee,FL,"87,238","$7,850",Crystal Black Pearl,Unknown,28,39,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
52,2019,Kia,['Soul'],+ Automatic,Overland Park,KS,"35,904","$11,897",Clear White,Black,25,30,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Premium Seat Material', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
53,2015,Nissan,['Altima'],2.5 S,Salisbury,MD,"64,793","$11,441",Pearl White,Charcoal,27,38,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Remote Engine Start', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
54,2014,Chevrolet,"['Silverado', '1500']",LT with 1LT Double Cab Standard Box 2WD,Arlington,TX,"88,525","$17,999",Tungsten Metallic,Jet Black,18,24,4.3L V-6 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Bluetooth', 'Remote Engine Start', 'Backup Camera', 'Tow Hitch']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
55,2014,Honda,['Civic'],LX Sedan CVT,The Woodlands,TX,"122,349","$7,683",Crystal Black Pearl,Charcoal,30,39,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
56,2020,Nissan,['Pathfinder'],FWD SV,St Francisville,LA,"11,156","$17,995",Brilliant Silver Metallic,Charcoal,20,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Adaptive Cruise Control', 'Backup Camera', 'Bluetooth', 'Third Row Seating', 'Multi-Zone Climate Control', 'Blind Spot System', 'Parking Sensors']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
57,2020,Toyota,['Corolla'],LE CVT,Euless,TX,"18,717","$13,995",Blueprint,Macadamia,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
