state,year,manufacturer,model,price,mileage,transmission
CA,2016,Volkswagen,Tiguan,13990,55657,Automatic
CA,2018,Ram,1500,35995,14873,Automatic
CA,2015,Chrysler,200,9985,64488,Automatic
CA,2018,Toyota,RAV4,18997,47294,Automatic
CA,2016,Volvo,S60,15089,34339,Automatic
CA,2017,Cadillac,XT5,19995,66323,Automatic
CA,2009,BMW,M3,19995,141079,Automatic
CA,2018,Toyota,Tacoma,28988,45453,Automatic
CA,2017,Porsche,Macan,39494,38606,Automatic
CA,2016,Land,RoverDiscoverySport,24883,35932,Automatic
CA,2015,Lexus,GS,23590,56766,Automatic
CA,2014,Nissan,Pathfinder,12988,87566,Automatic
CA,2017,Jaguar,XE,20995,58983,Automatic
